Fairness_Bias,Explain_Model,Reproducibility
Slightly important,Slightly important,Very important
Slightly important,Slightly important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Slightly important
Very important,Very important,Very important
Slightly important,Very important,Very important
No opinion; I do not know,Not at all important,No opinion; I do not know
No opinion; I do not know,No opinion; I do not know,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,Slightly important
Slightly important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Not at all important,Very important,Very important
Very important,Very important,Slightly important
Slightly important,Slightly important,Very important
Very important,Very important,Slightly important
Slightly important,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Slightly important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Slightly important
Slightly important,Very important,Very important
Very important,Slightly important,Very important
,,
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Not at all important,Very important,Very important
,,
Very important,Very important,Very important
Very important,Very important,Slightly important
Slightly important,Very important,Very important
Slightly important,Slightly important,Very important
Slightly important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,Very important
Very important,Very important,Very important
,,
Very important,Very important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Not at all important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Not at all important,Slightly important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Very important,No opinion; I do not know
Very important,Slightly important,Slightly important
Very important,Very important,Very important
No opinion; I do not know,Very important,Very important
Slightly important,Slightly important,Slightly important
Slightly important,Very important,Very important
Slightly important,Slightly important,Slightly important
Slightly important,Very important,Slightly important
Very important,Very important,Slightly important
Very important,Slightly important,Very important
Very important,Slightly important,Slightly important
Slightly important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Not at all important,Very important,Very important
Very important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Slightly important,Slightly important,Very important
Very important,Very important,Not at all important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
,,
Slightly important,Very important,Slightly important
Slightly important,Slightly important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Very important
Very important,Slightly important,Very important
Slightly important,Very important,Very important
No opinion; I do not know,Slightly important,Very important
Very important,Very important,No opinion; I do not know
,,
Very important,Slightly important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
Very important,Very important,Very important
No opinion; I do not know,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
,,
Very important,Very important,Slightly important
Very important,Slightly important,Not at all important
Very important,Slightly important,Slightly important
Very important,Slightly important,Very important
Very important,Very important,Very important
Not at all important,Slightly important,Very important
,,
Very important,Very important,Very important
,,
Very important,Slightly important,Slightly important
Slightly important,Very important,Not at all important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
No opinion; I do not know,Very important,Very important
Very important,Very important,Slightly important
Very important,Very important,Very important
Slightly important,Slightly important,Slightly important
Very important,Slightly important,Very important
Very important,Slightly important,Very important
Very important,Slightly important,Very important
Slightly important,Slightly important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Very important
,,
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Slightly important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Slightly important,Slightly important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Very important,Very important
Slightly important,Slightly important,Slightly important
Very important,Very important,Very important
Very important,Very important,Slightly important
Slightly important,Very important,Very important
No opinion; I do not know,Very important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Slightly important
,,
Very important,Very important,Slightly important
Very important,Very important,Very important
No opinion; I do not know,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
No opinion; I do not know,Not at all important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
Slightly important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,No opinion; I do not know
Very important,Slightly important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Slightly important
Slightly important,Very important,Very important
Very important,Slightly important,Very important
Very important,Slightly important,Very important
Very important,Very important,Slightly important
Slightly important,Slightly important,Very important
Very important,Very important,Slightly important
Not at all important,Very important,Slightly important
Very important,Very important,Slightly important
Very important,Very important,Very important
Very important,Very important,Slightly important
Very important,Very important,Very important
Very important,Very important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Slightly important
Very important,Slightly important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Slightly important,Slightly important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
No opinion; I do not know,Not at all important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Slightly important
Slightly important,Very important,Very important
Very important,Slightly important,Very important
Not at all important,Very important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Slightly important
Very important,Slightly important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
Very important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Slightly important,Very important,Slightly important
,,
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Not at all important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,No opinion; I do not know
Very important,Very important,Very important
Not at all important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Slightly important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
Slightly important,Slightly important,Very important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
Very important,Very important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Very important
No opinion; I do not know,Slightly important,Slightly important
Slightly important,Very important,Very important
Slightly important,Very important,Slightly important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
No opinion; I do not know,Very important,Very important
No opinion; I do not know,Slightly important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Very important,Very important
Slightly important,Very important,Very important
Slightly important,Slightly important,Slightly important
Slightly important,Very important,Slightly important
Slightly important,Slightly important,Slightly important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Slightly important
Slightly important,Not at all important,Slightly important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Slightly important,Slightly important,Very important
Slightly important,Slightly important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Not at all important,Very important,Not at all important
Very important,Very important,Very important
Slightly important,Not at all important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Slightly important
Very important,Very important,Slightly important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
,,
Very important,Very important,Very important
Slightly important,Very important,Very important
No opinion; I do not know,Very important,Very important
,,
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
Very important,Very important,Slightly important
Slightly important,Very important,Very important
Very important,Slightly important,Slightly important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Slightly important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Slightly important
Slightly important,Very important,Very important
Very important,Very important,Slightly important
Slightly important,Very important,Very important
Very important,Slightly important,Very important
Very important,Slightly important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Not at all important,Slightly important,Slightly important
Slightly important,Slightly important,Very important
Slightly important,Very important,Very important
Very important,Very important,Slightly important
Slightly important,Slightly important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
Very important,Very important,Very important
Slightly important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Slightly important,Slightly important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Very important,Very important
Slightly important,Very important,Slightly important
Slightly important,Slightly important,Very important
Slightly important,Slightly important,Slightly important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
Very important,Slightly important,Very important
Slightly important,Slightly important,No opinion; I do not know
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
No opinion; I do not know,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Slightly important
Very important,Slightly important,Slightly important
Very important,Very important,Slightly important
Slightly important,Slightly important,Slightly important
Very important,Very important,Very important
Not at all important,Very important,Not at all important
Slightly important,Very important,Very important
No opinion; I do not know,Slightly important,Very important
Very important,Very important,Very important
Not at all important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Very important,Very important
Very important,Slightly important,No opinion; I do not know
Very important,Slightly important,Slightly important
Slightly important,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
Very important,Very important,Slightly important
Very important,Very important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Slightly important
Not at all important,Very important,Not at all important
Very important,No opinion; I do not know,Very important
Slightly important,Slightly important,Very important
Slightly important,Slightly important,Very important
Very important,Very important,Very important
No opinion; I do not know,Slightly important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
No opinion; I do not know,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
No opinion; I do not know,Slightly important,Very important
Slightly important,Very important,Very important
Slightly important,Not at all important,Very important
Slightly important,Very important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
Very important,Very important,Slightly important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Slightly important
No opinion; I do not know,Very important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Not at all important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Slightly important
Very important,Very important,Not at all important
Very important,Very important,Very important
Very important,Very important,Very important
,,
Slightly important,Slightly important,Slightly important
Slightly important,Slightly important,Very important
Slightly important,Slightly important,Very important
Slightly important,Very important,Very important
Very important,Slightly important,Very important
Slightly important,Very important,Very important
Very important,Slightly important,Slightly important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Slightly important,Slightly important
Very important,Slightly important,Very important
Very important,Very important,Very important
,,
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Slightly important
Very important,Very important,Very important
No opinion; I do not know,Slightly important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
Very important,Slightly important,Very important
Slightly important,Slightly important,Slightly important
Very important,Slightly important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
,,
Slightly important,Very important,Very important
Very important,Slightly important,Slightly important
Very important,Slightly important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Slightly important,Slightly important
Very important,Slightly important,Very important
Very important,Very important,Very important
No opinion; I do not know,Very important,Slightly important
,,
Very important,Very important,Slightly important
Slightly important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Slightly important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
Not at all important,Slightly important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Very important
Slightly important,Not at all important,Slightly important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Slightly important
Very important,Very important,Very important
Very important,Very important,Slightly important
Very important,Slightly important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Slightly important,Slightly important
Not at all important,Very important,Very important
Very important,Slightly important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,No opinion; I do not know
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Slightly important
Very important,Very important,Very important
Very important,Very important,Slightly important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
No opinion; I do not know,Slightly important,Slightly important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Slightly important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Slightly important,Very important,No opinion; I do not know
Slightly important,Very important,Very important
Slightly important,Very important,Slightly important
No opinion; I do not know,Very important,Very important
Slightly important,Very important,No opinion; I do not know
Slightly important,Very important,Very important
Not at all important,Slightly important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Slightly important,Slightly important,Slightly important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Not at all important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Not at all important,Very important
Very important,Very important,Very important
No opinion; I do not know,Very important,No opinion; I do not know
,,
Very important,Slightly important,Very important
No opinion; I do not know,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Slightly important,Slightly important
Slightly important,Slightly important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Slightly important
Very important,Very important,Very important
Slightly important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Not at all important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Slightly important
Very important,Slightly important,No opinion; I do not know
Very important,Very important,Very important
No opinion; I do not know,Very important,Very important
Very important,Not at all important,Not at all important
Very important,Very important,Very important
Not at all important,Slightly important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Not at all important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Slightly important
,,
Very important,Very important,Slightly important
Very important,Very important,Very important
Not at all important,Very important,Slightly important
Slightly important,Not at all important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
No opinion; I do not know,Slightly important,Slightly important
Slightly important,Very important,Very important
Not at all important,Not at all important,Very important
Slightly important,Very important,Slightly important
Very important,Very important,Very important
Slightly important,Slightly important,Not at all important
Not at all important,Slightly important,Very important
Slightly important,Very important,Very important
Very important,Slightly important,No opinion; I do not know
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Slightly important
Slightly important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Slightly important
Slightly important,Very important,Very important
Slightly important,Very important,Very important
Not at all important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,No opinion; I do not know
Very important,Very important,Slightly important
No opinion; I do not know,Very important,Very important
Slightly important,Very important,Slightly important
Slightly important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
,,
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Very important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Not at all important
Very important,Very important,Very important
No opinion; I do not know,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,No opinion; I do not know
Very important,Very important,Very important
Very important,Very important,Slightly important
Very important,Very important,Very important
Slightly important,Slightly important,Slightly important
Very important,Very important,Very important
Slightly important,Very important,Very important
Slightly important,Slightly important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Not at all important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Slightly important
Slightly important,Very important,Very important
Not at all important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Not at all important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Slightly important,Very important
No opinion; I do not know,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Slightly important
Very important,Slightly important,Very important
Very important,Slightly important,Very important
Very important,Slightly important,Slightly important
Very important,Very important,Slightly important
Slightly important,Very important,Very important
Very important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Very important,Very important
,,
Slightly important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Slightly important
Slightly important,Slightly important,Very important
Not at all important,Not at all important,Not at all important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
Slightly important,Slightly important,Slightly important
Slightly important,Very important,Slightly important
Very important,Slightly important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Slightly important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Very important,Very important
Very important,Slightly important,Slightly important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
No opinion; I do not know,Very important,Very important
Very important,Very important,Slightly important
Very important,Slightly important,Slightly important
Not at all important,Slightly important,Very important
Very important,Very important,Very important
No opinion; I do not know,Slightly important,Very important
Very important,Slightly important,Very important
Not at all important,Very important,Very important
Slightly important,Slightly important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
Slightly important,Very important,Very important
Slightly important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
Slightly important,Very important,Very important
Very important,Slightly important,Very important
Slightly important,Slightly important,Very important
Slightly important,Slightly important,Slightly important
Not at all important,Very important,Very important
Slightly important,Very important,Very important
Very important,Slightly important,Slightly important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
,,
Slightly important,Very important,No opinion; I do not know
Very important,Very important,Slightly important
No opinion; I do not know,Slightly important,Not at all important
Very important,Slightly important,Slightly important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Slightly important
No opinion; I do not know,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Very important,Very important
Slightly important,Slightly important,Very important
Very important,Slightly important,Slightly important
Very important,Slightly important,Slightly important
Very important,Very important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Slightly important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Slightly important,Very important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Slightly important,Slightly important
Slightly important,Slightly important,Very important
Very important,Very important,No opinion; I do not know
Very important,Not at all important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Slightly important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Very important,Slightly important,Slightly important
Slightly important,Very important,Very important
Very important,Very important,Very important
Not at all important,Slightly important,Slightly important
Very important,Very important,Very important
Not at all important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
No opinion; I do not know,Very important,No opinion; I do not know
Very important,Very important,Very important
Very important,Slightly important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Slightly important,Very important,Very important
Very important,Very important,Very important
Not at all important,Slightly important,Not at all important
No opinion; I do not know,Very important,Very important
Very important,Slightly important,Very important
Slightly important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
Not at all important,Very important,Very important
Very important,Very important,Very important
Slightly important,Slightly important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Not at all important,Slightly important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Slightly important,Very important
Very important,Very important,Slightly important
,,
Slightly important,Very important,Slightly important
Very important,Slightly important,Very important
Very important,Very important,Slightly important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
Very important,Very important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Not at all important
Very important,Slightly important,Very important
Slightly important,Very important,Very important
Slightly important,Very important,Slightly important
Very important,Slightly important,Slightly important
Very important,Not at all important,Very important
Not at all important,Very important,Very important
Very important,Very important,Very important
No opinion; I do not know,Slightly important,Slightly important
Slightly important,Very important,Slightly important
Very important,Not at all important,Slightly important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Very important
,,
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
No opinion; I do not know,Very important,Very important
Slightly important,Very important,Slightly important
Very important,Very important,Slightly important
Very important,Very important,Very important
Very important,Slightly important,Slightly important
Very important,Slightly important,Slightly important
No opinion; I do not know,No opinion; I do not know,No opinion; I do not know
,,
Slightly important,Very important,Slightly important
Very important,Very important,Very important
Very important,Slightly important,Very important
Very important,Very important,Slightly important
Very important,Very important,Very important
Very important,Slightly important,Slightly important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Very important,Very important,Very important
Slightly important,Very important,Very important
Very important,Very important,Very important
Very important,Slightly important,Very important
Slightly important,Very important,Slightly important
